Source Folder ID	File Name	Mime Type	File ID	Web View Link	Direct Download Link	Created	Last Updated	Size (Bytes)	Width (px)	Height (px)	Orientation
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	8. Uptown Funk.mov	video/quicktime	1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j	https://drive.google.com/file/d/1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j/view	https://drive.google.com/uc?export=download&id=1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j	2025-11-17T18:59:07.252Z	2025-11-17T19:01:47.400Z	102345489	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Fly Me To The Moon.mov	video/quicktime	1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3	https://drive.google.com/file/d/1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3/view	https://drive.google.com/uc?export=download&id=1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3	2025-11-17T18:40:47.923Z	2025-11-17T19:01:25.084Z	116486656	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	7. Up Town Funk- Studio Recording	video/mp4	1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_	https://drive.google.com/file/d/1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_/view	https://drive.google.com/uc?export=download&id=1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_	2020-12-25T22:17:51.825Z	2025-11-17T18:53:23.076Z	257228838	960	540	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	7.Usher.mov	video/quicktime	1etWb5hLy0kccVgynlgbnKph748WjwZ_e	https://drive.google.com/file/d/1etWb5hLy0kccVgynlgbnKph748WjwZ_e/view	https://drive.google.com/uc?export=download&id=1etWb5hLy0kccVgynlgbnKph748WjwZ_e	2025-11-17T18:39:25.553Z	2025-11-17T18:52:14.220Z	56571738	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	5. Lady Marmalade.MOV	video/quicktime	1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd	https://drive.google.com/file/d/1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd/view	https://drive.google.com/uc?export=download&id=1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd	2025-11-14T20:14:59.314Z	2025-11-17T18:51:43.592Z	40033356	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	7. I Wish.mov	video/quicktime	1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY	https://drive.google.com/file/d/1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY/view	https://drive.google.com/uc?export=download&id=1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY	2025-11-17T18:35:39.853Z	2025-11-17T18:51:28.587Z	78001037	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	6. Unwritten .mov	video/quicktime	1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC	https://drive.google.com/file/d/1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC/view	https://drive.google.com/uc?export=download&id=1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC	2025-11-17T18:36:53.961Z	2025-11-17T18:51:09.699Z	66440637	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	5. Give It Too Me.mov	video/quicktime	1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20	https://drive.google.com/file/d/1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20/view	https://drive.google.com/uc?export=download&id=1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20	2025-11-14T20:06:45.625Z	2025-11-17T18:50:19.212Z	54011925	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	4. Sir Duke.mov	video/quicktime	1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K	https://drive.google.com/file/d/1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K/view	https://drive.google.com/uc?export=download&id=1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K	2025-11-17T18:42:04.131Z	2025-11-17T18:49:57.013Z	56978333	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	3. Jungle Boogie.MOV	video/quicktime	1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg	https://drive.google.com/file/d/1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg/view	https://drive.google.com/uc?export=download&id=1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg	2023-07-20T06:05:03.718Z	2025-11-17T18:49:18.534Z	105990399	1920	1080	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Signed Sealed Delivered.mov	video/quicktime	1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl	https://drive.google.com/file/d/1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl/view	https://drive.google.com/uc?export=download&id=1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl	2025-11-17T18:43:48.002Z	2025-11-17T18:48:11.551Z	72428667	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	2. Journey.MOV	video/quicktime	1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp	https://drive.google.com/file/d/1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp/view	https://drive.google.com/uc?export=download&id=1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp	2023-07-20T06:24:51.358Z	2025-11-17T18:47:46.527Z	97797747	1920	1080	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	1. Sweet Caroline.mov	video/quicktime	1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv	https://drive.google.com/file/d/1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv/view	https://drive.google.com/uc?export=download&id=1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv	2025-11-17T18:33:11.153Z	2025-11-17T18:47:23.285Z	110299385	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	This Will Be.mov	video/quicktime	1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf	https://drive.google.com/file/d/1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf/view	https://drive.google.com/uc?export=download&id=1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf	2025-11-14T20:08:11.086Z	2025-11-17T18:28:27.931Z	64893627	2160	3840	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	What is Hip.MP4	video/mp4	1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM	https://drive.google.com/file/d/1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM/view	https://drive.google.com/uc?export=download&id=1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM	2025-11-14T20:14:19.823Z	2025-11-17T18:04:57.691Z	13156296	480	854	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	25or6too4.mov	video/quicktime	1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL	https://drive.google.com/file/d/1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL/view	https://drive.google.com/uc?export=download&id=1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL	2025-11-14T20:11:25.926Z	2025-11-14T20:11:25.926Z	188391479	2160	3838	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Sir Duke	video/quicktime	1HyLXk49HglMEgixo3tYG6BvCElAADanY	https://drive.google.com/file/d/1HyLXk49HglMEgixo3tYG6BvCElAADanY/view	https://drive.google.com/uc?export=download&id=1HyLXk49HglMEgixo3tYG6BvCElAADanY	2022-06-23T08:41:40.104Z	2023-07-20T06:28:43.170Z	80651265	1280	720	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	A. Sir Duke - Big Sur Wedding	video/mp4	11H9lXCXeQDMcf3bvrvFfVaChoxUpkSZQ	https://drive.google.com/file/d/11H9lXCXeQDMcf3bvrvFfVaChoxUpkSZQ/view	https://drive.google.com/uc?export=download&id=11H9lXCXeQDMcf3bvrvFfVaChoxUpkSZQ	2022-01-26T21:34:18.961Z	2023-07-20T06:28:30.679Z	24225457	720	462	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	D Trumpet VS Sax.Mov	video/quicktime	1f5W8j26uTzzEymi7Vqr51GY2K6tcE3nj	https://drive.google.com/file/d/1f5W8j26uTzzEymi7Vqr51GY2K6tcE3nj/view	https://drive.google.com/uc?export=download&id=1f5W8j26uTzzEymi7Vqr51GY2K6tcE3nj	2023-07-20T06:06:48.400Z	2023-07-20T06:26:58.945Z	104691095	1080	1266	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	B September .mov	video/quicktime	18lH8U44G-2aOF7g5O--0Z0P1Svhu960V	https://drive.google.com/file/d/18lH8U44G-2aOF7g5O--0Z0P1Svhu960V/view	https://drive.google.com/uc?export=download&id=18lH8U44G-2aOF7g5O--0Z0P1Svhu960V	2023-07-20T06:03:46.635Z	2023-07-20T06:26:04.658Z	100772370	1920	1080	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Don't Stop Believing (Wedding)	video/quicktime	1PAwD1vTcjQNvOsbIDin1J7ZqgHe00q_Q	https://drive.google.com/file/d/1PAwD1vTcjQNvOsbIDin1J7ZqgHe00q_Q/view	https://drive.google.com/uc?export=download&id=1PAwD1vTcjQNvOsbIDin1J7ZqgHe00q_Q	2022-06-23T08:40:35.561Z	2022-06-23T09:08:30.325Z	79654231	1920	1080	Landscape
